Id,ProductId,UserId,ProfileName,HelpfulnessNumerator,HelpfulnessDenominator,Score,Time,Summary,Text,Sentiment
19958,B008FVVDG6,A22C6C63PKPMS6,R. Lampert,0,0,1,1342483200,Fake flavor,"I was excited to try this because I love vanilla lattes. It is the drink I order most often, and make at home on a regular basis. This tastes so fake, similar to the instant vanilla coffee drinks. It does not taste like a vanilla latte that you can get at a coffeehouse.",negative
428857,B0013QRY22,A3QJW5PZHX2A4W,Dave M.,0,0,5,1311984000,Great for a fat dog with a sensitive stomach,"My miniature schnauzer not only was putting on a little weight with the lamb/rice, it was making his stomach upset for a while.<br /><br />On the vet's recommendation, I switched to this food and it has been great for him for over a year now.  He also gets way more excited about this food than the previous one.  Highly recommend it.",positive
456386,B001UUJ910,AD2QRU9ZXBQZ1,Domestic Gnome,1,2,2,1262131200,Not especially strong lemon flavor,Expected stronger lemon flavor so have to use a lot to really taste the lemon.  Not terrible but pretty mediocre...,negative
58537,B001ULH7P4,A193UNMSVNQMCC,"C. J. Burrow ""GFCF Mom""",0,0,5,1241395200,Strawberry Lover's Dream & Great Value!,"Just got these and they are delicious! Crunchy through and through, which is hard to find with ""dehydrated"" fruits. Sweet, and tart, and crunchy, and oh so good. Also love that they come in individual packs--perfect for kids' lunches & car trips. At just over 80 cents a pack, it's a pretty good value for an all-natural yummy snack!",positive
501823,B007D7P9TK,A3X5656L1J7F5,WLL,2,3,2,1344556800,Taste is not what I expected,"I purchased this to use in baking according to Elana's website. She stated the oil has a buttery taste. This oil has a taste that I cannot describe it overpowers the chocolate chip cookies. It might be this brand, maybe I will try another brand of grapeseed oil.",negative
472209,B001HKZZ4I,A8LNMJEXUT2VB,"hp1480 ""hp1480""",2,2,2,1321660800,How much should you pay for Van Houtte Tarrazu coffee,"I love this coffee a lot because it's mild and has flavor .However I'm shocked at the price of this Van Houtte Costa Rica Tarrazu Coffee .Since Van Houtte wont ship this coffee to the USA and has dismantled their web site ,you only have 1 choice , Amazon .There for around $50 you can buy 48 cups roughly $1.04 per cup .But wait ,and I spent a few hours researching the availabilty of this coffee .I found a web site ""tweedandhickory"" where they sell 24 k cups or loose coffee in a bag for around $17 , and they do ship to the USA although expensive around $18 .BUT!! here is what you do if you like this coffee so much as I do.The shipping charges while high for 1 order ,increasing your order the shipping is a tiny bit more .SO!! if you buy 5 24 cup boxes and ship to the USA (Boston area) the cost including shipping is $89 thats .74c a cup .This is what I'll do ,maybe we can break the Tarrazu cartel ,because not even Keurig carries it .I hope Amazon will publish this review because it would be a great saving for the readers that like this coffee . I think no one should pay more than .75c a cup .<br /><br />Since I wrote this review I discovered another online site ""filterfreshlv.com they sell this Tarraszu for $14.95 for 24 cups plus shipping .Spend $50 ,shipping is free .I can't understand why Amazon my favorite company deals with this company that lists the retail price at $33 which is crossed out and the price is now $45.95 plus tax .<br /><br />Unfortunately a big scam is being is being played here Filter Fresh and the Amazon seller are both advertizing Tarrazu and are delivering Costa Rican coffee .The only similarity is the Van Houtte printed on the box .It's virtually impossible to buy Tarrazu in this country so some sellers are showing a picture of a split label cup which says Tarrazu ,but when you buy and open the box the cups have a black label which says Costa Rican coffee .Folks there is a difference and these sellers are substituting Costa Rican coffee knowingly and charging outragious prices.This should be stopped ,and twice I have bought what was advertized as Tarrazu and wasn't .After pointing out to these sellers they told me to keep the coffee and refunded my money ,but continue to bait and switch the public.The only place to get Van Houtte Tarrazu coffee is in Canada and most companies wont ship to the USA.In conclusion the Costa Rican coffee is good but not as good as Tarrazu ,so you will have to drink this slightly inferior coffee .I just get upset about the games being played.<br /><br />2/26/12<br />At last I found it Tarrazu coffee ,not Van Houtte but from George Howell in Newtonville ,MA web site www.terriorcoffee.com .<br />While it isn't Van Houtte it's a delicious quality coffee in a 12 oz bag (no K-Cup )at $13.75 .I live about 4 miles from their coffee shop and because I bought this bag of coffee ,they gave me a free cup of their coffee of the day .That was El Roble from Colombia  and boy was that delicious .For those people who don't know who George Howell is ,he started Coffee Connections in the Boston area many years ago ,only to be bought out by Starbucks .Well he's back at it brewing great coffee and he carries Tarrazu .",negative
534103,B001EO77FC,A38V9BFFCUEHIH,"Brown Eyes ""withease23""",0,0,5,1336089600,Finiky Digestion,"We have two Westies who, to say the least, have very sensitive digestion systems.  Since using this product, their hair is soft and moisturized, they love their food, and to boot, they are down to their recommended weight. We're on the automatic delivery program and that's the best no brainer ever.",positive
82220,B0047INAUS,A157LA0VW1U3ZF,Bow,0,0,1,1347148800,Meh,"The price is good, size is perfect...but my dog doesn't like them at all. Would not buy again sorry. Not the products fault",negative
86362,B000SSTZ9G,A368GHMQO6Y9RY,D. Simmons,0,0,5,1219795200,Awesome,I brought back some from Japan.  Even better when you pack some for a hike on a hot summer day.  They are delicious when warm!,positive
381958,B0012C643C,A1A0MWYV8MTNUQ,Candyapple1912,0,0,1,1328486400,Cancelling monthly subscription,"Received two shipments and every 8 ounce container had chunks of soymilk in the bottom.  Therefore, I am cancelling my monthly subscription.",negative
124791,B002XZ754O,A1OHC05J3PUJQ6,VinceJ,2,2,5,1320019200,Best Pet Treat.,"This is my second purchase of Chicken Nibbles from Amazon. Of all the pet treats on the market, our little terrier chooses these as best. We have thrown away more other products because he won't eat them. And we find it nearly imposssible to find this product in our area in any retail or pet supermarket. Amazon is the best and most reliable place to get them. Thanks  Amazon.",positive
185982,B001EO617W,A23TT78NE3WT08,hi,0,1,2,1309478400,Caps leak all the time,"This honey is okay.  Though I am no connoisseur,  It's kind of like supermarket honey.  I use it when I make bread or put it in my coffee.  I think it is average honey.  Probably the worst thing about this honey is the cap.  No matter how careful I am, every time I put honey into my coffee, the honey drips from the side of the cap.  So I have to rinse it off so it doesn't make a sticky mess on the counter or in the cabinet.  Sometimes my husband uses this and I have to clean up a trail of mess.  The manufacturer should have put 10 more cents into making a better bottle.",negative
414048,B0026KPDG8,A2RUN9WBD5H23R,richman,1,5,1,1296777600,hated them,"I understand many people love these things, but I bought the sea salt and vinegar popchips and I hated them. I LOVE regular  potato chips lay's and other brands. These popchips not only taste bad but they have a bad after taste to me.<br />I think these popchips must be for ""heath"" type people who try to convince themselves these taste good.<br />We like what we like and we all have different experiences about this type of thing.<br />After reading so many positive reviews I thought these would be good.<br />They taste ""hallow"", ""empty"", too artificial chemical taste.<br />With a regular potato chip I get the ""that's it"" sensation, satisfying, full flavor.",negative
326704,B002AQ0OW6,A2KBBLZ8ZKUV9S,C. Foell,2,3,1,1287100800,like dish water,"Granted I like a deep roast, but this has no taste at all. I take two cups and brew on the lowest setting to enrich it.",negative
167164,B002HQE11O,A3A38P2MJX8SS0,Derek B. Albertsen,14,23,1,1309219200,Liquid gummy bear,"This product is basically sugar with lots of gums and bits of vanilla.  Kind of liquid gummy bear.  I was hoping for actual ground up vanilla beans in paste form which is available from Bright Earth Foods, unfortunately not available on Amazon.",negative
96167,B004HOLD4W,A13QLFTU0I8PSZ,rk,0,0,5,1290643200,Yum,"Eaten alone these flavored almonds are a bit overpowering (pretty tart, but I love 'em). However, if you put them in a large container with other flavored nuts, such as jalepeno smoke, along with raw almonds, cashews, walnuts whatever, the spices are spread among all the other nuts. A great snack. It was also cheaper and easier to get them through Amazon than to run all over town trying to find a store that carries the flavors I want.",positive
510583,B002WDZ6Y8,AS1FCKNKY95ID,"Juli A. Lee ""JingleJL""",0,0,5,1339804800,Wonderful,"I have tried many Chai teas and this is among the best.  Since I have a Tassimo machine it just makes sense to buy this.  It comes with the cream and I put FL honey in it.  Oh................so good.  I had strep throat this week and this was all that would go down my throat.  Now, even though I'm better, I have a cup every night.  Excellent!",positive
485761,B001RVFERK,A10X7DZ3WOE9YG,"Cristina Growden ""Former Marketplace book seller""",1,5,1,1325635200,Is this food?,"This is for the regular flavor...<br />I give it zero starts, it was so bad.<br />Hard to believe this is food, and really hard to believe all of the good reviews.  I felt like I was eating packing material, and it left a slimy, yucky residue in my mouth.  Totally disgusting.  BBQ Stix are way better!",negative
183184,B004G5ZYTM,A1FXDT1O1BHU53,DP,1,1,5,1344124800,Puppy Loves it,"My 13Wk old Mastiff puppy loves these. I've already ordered two mainly because she runs off and chews on them under the beds then I can't find it later when I want her to stop chewing on people. The price wasn't bad for me $12 I think for the Med. I think that is mild in comparision to all the other chew toys i've bought that she wont even look at! The antlers dont smell and she has been chewing on one for about a month and it has barely made a dent. As long as she continues to be a chewer, I will always reccomend these!",positive
16379,B007TJGZ54,AWBCE19Y3ZJUW,LR,2,6,1,1306022400,Why use a brewer for instant coffee?,"This stuff is NASTY.  I don't even think it's particularly good instant.  Why would anyone spend all that money on a keurig coffee maker in order to make instant coffee at home?  You just need a kettle or a microwave.  And what a waste of space in your kitchen and landfill.  The worst part is that you don't know it's instant until you taste it, look carefully at the package, and see that it's ""water soluble""-- code words for instant.  Open one up, and you'll see!",negative
78802,B0031UBVX6,A29G6RBW9LQQSJ,M. Bazarian,0,0,5,1288051200,Excellent snack at home or on the go,"We are addicted to these and always have a stash in the house. This (and other flavors) have become our go-to snack.  I like them because both my four year old and 16 month old can feed themselves without the mess, so it's perfect for when we are out or on travel.  In addition, all this is is pureed fruit - no added sugars, no preservatives, nothing.  It's a snack I am happy to give to my kids.  We take them everywhere - in the car, to the beach, to the zoo, sometimes I pack them in my son's lunch for school, etc.  And they're a great snack for the parents as well... We will continue to purchase these for years I am sure.",positive
553178,B004LL7AL6,A12I6NRHVEUD5E,Catherine McNamara,0,0,5,1350518400,My Cats Love this Food,"I have gradually made the switch to organic foods for myself, but was still feeding my cats non-organic. If the big agriculture business harms the planet making human food, it must do the same making food for our pets.<br /><br />I bought Organix after seeing some good reviews for it. It costs more, but the ingredients are high-quality. I have noticed that my cats need less of it, so the same size bag as conventional food goes farther. My cats also love the taste of this food.<br /><br />Organix is good for my cats and better for our planet.<a href=""http://www.amazon.com/gp/product/B004LL7AL6"">Organix Organix Adult and Kitten Dry Cat Food, 14.5-Pound</a>",positive
448871,B002ZOG2B0,A3T3Z95O5WE96H,annaver,0,0,5,1334016000,Love it!,"Love this coffee! It has nice, not overpowering aroma. Coffee tastes fresh, no bitter after taste. Going to reorder it now, since the taste and price both are satisfying to my taste",positive
390447,B0002AQ5RU,A1T2WKMLGSO507,"Marylou Sakosky ""Ms MaryLou""",0,7,1,1320364800,YO USOULD OF SEEN THIS,WHAT A JOKE --PLEASE PUT CHIAHUAHU ON PROFILE SO I GET A 4 INCH BONES AND NOT 40 FOOT ONES ANOTHER JUNK ANIMAL WHATEVER --SOMESDAY I WILL GET IT RIGHT AND YOU WILL TOO --PUP PERONI SAUAGE HINT,negative
471608,B000OCQ6DY,A2B441OML9B046,lbshutes,0,0,5,1329782400,"great price, great food","I ordered this for my 2 girls after doing a little research. It's healthy, WITHOUT THE ""HEALTH FOOD"" price! They have been more active since eating it. And they went from ""starving"" with eating 3+ cups a day, to only 2 cups/day. And no more begging! That's my favorite part. They love it, and behave better at meal times. They used to jump all over me, and now they sit patiently and wait for their commands. Okay, okay, part of that is training, sure. But not entirely. It's just good food  :)<br /><br />And of course, it helped cut done on bathroom times and clean-up, bonus!",positive
22674,B0013LWJ1S,A31UITXO8QXG3H,Jay M. Clayton,0,0,5,1243987200,delicious and healthy,"I used to buy these at the local supermarket, but they are no longer carried there.  Finding them on Amazon I purchased a box and found they were fresh and delicious as I remembered.  For chips they are also very healthy.  I definately will buy them again.",positive
204829,B000V9E8VM,A1SV8XMRL3UVIS,"A. HUBBARD ""THE CHEFF""",0,0,5,1313798400,Great !,"Excellant dry pappardelle , pasta is very thin , follow the directions , comes out prefect ,ready for any codimento ,so many uses , bravo !",positive
399137,B000VK4K3W,A3T09F1DUAALLN,"Paula Rosenblum ""Paula""",16,26,1,1297382400,BEWARE - AMAZON LIMITS THE TOTAL AMOUNT YOU CAN BUY,"The food is GREAT.  The cats have gotten completely addicted to it.  BUT....what Amazon doesn't bother to mention is that ""quantities are limited"".  I have been buying this food for my 3 cats for about 6 months.  It comprises roughly half their diet (or 3 cats/day).<br /><br />I just went to re-order and was repeatedly told ""there's a problem"".  Long story, and 2 phone calls plus 2 emails later, I was told I have bought the LIFETIME MAXIMUM of this product.<br /><br />I ordered it for almost twice the price via the marketplace, but I am furious with Amazon.  NOWHERE on this page do they tell you there's a limit.  So I'm here to tell you there is.<br /><br />The food is great, but don't get used to buying it here.",negative
403820,B000LKZ3I8,A2E7N0Z1DNFGR0,Yong S. Kim,1,1,5,1190246400,Fantastic!!,My son and I love this product. He loves strawberries and this is perfect. It's the right size and is ideal to carry for lunch.,positive
99909,B0028677GY,A28N73CGNKROOQ,Christina Deluca,0,0,1,1348963200,Bait and Switch,"Amazon has two options for this product, can either purchase a single container or a 6 pack for 10.00 more. I chose the 6 pack since I have four dogs. I received 1 canister and not 6. When I contacted Amazon they stated that there is nothing that they can do that it is the sellers mistake. (This order ships by Amazon) asked the associate why couldn't have been the fault of Amazon maybe pulling the wrong item (the single and not the 6 pack) or maybe the puller read the order wrong. Absolutely not I was told. Not only that the only way to rectify the situation is to send back the product and then get a refund. Amazon could not refund me the 10.00 nor could they send me 5 more. Can you believe????",negative
545126,B001VNGJU0,AUCLNV4A60XC0,Venusgirl,1,2,2,1322611200,Not Frontier Brand,"I ordered the ""Frontier Brand"", but did not recieve that brand.  The packaging was totally different and shipping was outrageous.  I did not realize that I had ordered from a 3rd party seller.  The product was fine, but I rated it a 2 because I feel like this is false advertising.  You should get the brand that you ordered.  I am not sure if it is Amazon's fault or the 3rd party seller for selling the product under a false name.  Anyway, if you want to order the frontier brand, make sure you order directly from Amazon...just b/c you order it from the Amazon website does not mean that you are ordering it from Amazon, so BEWARE!",negative
494682,B000ILMQF8,A37S7VVLH874WY,"Dolcevita326 ""dolcevita326""",0,1,1,1302739200,Waste of money,"I had wanted the Kraft Mac 'n Cheese Topper but my local grocery store did not have it.  So I decided to try this one, and was sorely disappointed.  My 4 and 6 year old girls also did not like the Kernel Season's seasoning and prefer the other one.  My 4 year old actually said ""Can I have the cheese in the blue thing?""  The Kraft cheese topping tastes more like real cheese, and whereas the KS seasoning is a much finer powder that has an odd taste to it -- we use the topping mostly for popcorn, but since the KS tastes odd, my girls will take plain popcorn over popcorn flavored with this.  However, I lucked out and found that Amazon carries the Kraft cheese toppingg and got it on sale.  Cannot beat the deal.  Amazon is awesome!",negative
77225,B002YZXRT0,A13PZH5ZVQD0UA,StacyW,0,0,4,1310083200,Satisfying Product,"Despite the product being damaged during the shipment, the bottles that were intact were very satisfying.  The combination of minerals and carbonation in the water were perfect for my taste.  I have become a lover of mineral water thanks to this product.  But I would not recommend having it shipped by this particular company because it was not packaged well and half the bottles were busted.",positive
59019,B002HQLY7S,A385WYWUMRWAHB,"dwarp ""dkw""",0,0,5,1325635200,Awesome!,"This, in my opinion is one of the best coffee's made.  The flavor is not overpowering and has a nice aroma.  Shipping was fast and the price was cheaper than most K-cups.  Will buy again and again.",positive
91752,B003OPCMZO,A32ZDO5O41K4SH,zip,3,5,2,1321920000,tainted,The saffron arrived with a strong chemical order. It may have been stored close to insecticides.<br />Cooking did not remove the odor. We decided not to use it.,negative
146602,B001M074ME,A1D4BJIS3WUCAN,"R. Long ""Music Fan""",1,1,1,1343174400,Does not work in coffee makers as advertised,"I purchased this product when Senseo pods were hard to obtain and thought it would be a good fill in.  The first pod broke my senseo machine and I should have given up then, however, the coffee box said it would work in any pod machine so I tried it in a Hamiliton Beach pod machine.  No luck, tasted like warm, brown water. Be very careful if you buy this product, it may ruin your machine or at the very least just be bad coffee.",negative
209856,B00028LDJC,A1FKFCQRVSHF0Z,Ben,0,7,1,1299974400,do not buy,They sent me a completely different type of gum and did not respond at all when i tried to contact them.,negative
446262,B0000DG8AR,A3FOZSJSRCAGG6,Kojak,3,5,1,1168128000,not pleased I,"I dont know if this product is dormant or dead.  No leaves, giving it great care.  I have a grow lamp on it.  Both of my azalea and geranium will have to be reordered.  Any advise given will be helpful.",negative
31779,B001SAVOR4,A2NP8RNW9T5BQF,A. Brazhnykova,0,0,1,1343952000,Fake!,"I used to buy this sugar for years. I do not eat much sugar, but still. This sugar is called turbinado sugar, but is misleading. I picked this brand just because it says real turbinado sugar, and other brands (in the local food store) that their sugar is brown because it is colored with caramel or something.<br /><br />HOW did i find out? I needed just a sweet water few days ago. I put this Sugar in The Raw in the glass. The water became brown and on the bottom of the glass i got just PURE WHITE SUGAR CRYSTALS!!!!! What a shame on the producer! U can try to put this sugar in your mouth and after few seconds you will spit out pure white crystals as well.<br /><br />I'm just wondering if the consumers can hold the company liable for such a practice.",negative
145292,B000FBM3WC,A2IYLMDQGBB4VG,"D. Jones ""wyoairerescue""",1,2,2,1216598400,broken cookies,"I bought these cookies for myself and as a gift for my dad for his birthday. Unfortunately, 2 out of 4 of the boxes I gave my dad as a gift had mostly broken cookies, and were stale tasting. Not a great gift idea, and not really packaged or handled well. I have bought the delice cookies in the past and had no problems other than a random broken cookie in a box. I have not opened all of the boxes yet of course, but will hope to find a couple that are not all broken up to give to my dad.",negative
156244,B000XSCXIG,A1NYKD19R5JQWD,Rayne,0,0,1,1333584000,really disappointed,"though i did not purchase this through amazon, i did get this recently from thw grocery store, and have to admit im really disappointed.  i followed the instructions the first evening EXACTLY as instructed with the included paper, and no results.  the second day, i brewed just a little longer, still no luck, (basing this off some other comments from other users here on amazon) then today i only did 6oz, not 12 as the paper instructs, and even brewed this for 6 minutes.  still nothing.<br /><br />i really wanted this to work for me like it has for others, i had heard good things and was so excited, but still no luck.  i guess im one of those people this doesnt affect. ill keep trying it daily till i run out, but looks like ill have to try something else.<br /><br />as for taste, its not bad. just tastes like tea leaves, not deliciously fantastic, but not nose-pinchingly undrinkable. good luck to anyone else. hope you have more success with this than i did",negative
539950,B000V17MJA,A2O6YDQZ6HU6DX,Etta Mae Houston,1,1,5,1250726400,Wonderful Taste,"This is the best energy drink I have ever had.  I love the berry flavor.  I usually purchase at Whole Food Market, but ordering online saves me the frequet trips to store.  Shipping was free.  Will continue to order online since it is so convenient.",positive
230342,B00004RYGX,A19JYLHD94K94D,Itamar Katz,2,2,5,1089244800,Remains one of my favorites,"Re-watching Beetlejuice more than a decade after it thrilled, frightened and enthralled me as a child makes me sad about Mr. Tim Burton's transformation into a Hollywood favorite semi-quirky remake-director (Planet Of The Apes, Sleepy Hollow) in recent years (Big Fish indeed signals a hopeful recovery - if only Charlie And The Chocolate Factory doesn't spoil it...!) At the young age of thirty, and in only his second full length feature, Burton created a cult favorite that is one for the ages. In this bizarre, off-beat script by Michael McDowell (who collaborated with him before on an episode of the `Alfred Hitchcock Presents' television series) he found the ideal vehicle for his unique and strange imagination - and indeed, Burton's unique vision is more apparent here than in any of his movies, The Nightmare Before Christmas being the happy exception. Though it's true that it's not as personal a creation as `Nightmare' or Edward Scissorhands, this is the movie that would place Burton on the map as a major director, and would earn him his breakthrough job - directing the first Batman feature film. It is on Beetlejuice that he would also start several long-time collaborations with actors who would work with him again in the future - Michael Keaton (Batman &amp; Batman Returns), Winona Ryder (Edward Scissorhands), Jeffrey Jones (Ed Wood, Sleepy Hollow), Glenn Shadix and Catherine O'Hara (both of whom did voiceovers for Nightmare Before Christmas).<p>So, again, while Beetlejuice isn't as deep and personal film as we would see in Nightmare Before Christmas, Edward Scissorhands, Ed Wood or Big Fish, Beetlejuice is an incredibly imaginative and captivating film and is a perfect black comedy. Geena Davis and Alec Baldwin are both more than adequate, but Michael Keaton in the title part is of course the real star of the show - although in reality his part is much smaller than those of Davis and Baldwin. Keaton is electric and mesmerizing as the bio-exorcist or `the Ghost with the Most', Beetlejuice (spelled BETELGEUSE!), probably the greatest and most memorable performance of his career (with the possible exception of the part of Batman). Keaton really let loose in Beetlejuice, and he and Burton were seemingly having a blast - they created one of the most memorable horror and comedy characters on the big screen. Seventeen year old Winona is also terrific as Goth-girl Lydia, fascinated and repulsed by Betelgeuse's extreme personality. Similarities between her character here and the one in Edward Scissorhands are easy to find, but for my money her performance as Lydia is the better one.<p>And in conclusion, if there's any movie that I'd recommend to own on VCR or DVD, it's Beetlejuice; because Burton at his best made films that are well rewarding in repeated viewing, and Beetlejuice is Burton at his very, very best, even if it's not his best film. So even if it's not an essential masterpiece like Edward Scissorhands, Beetlejuice is one of the classic cult films of all time, and I can't imagine going through life without it - that is, if you have the tiniest bit of a sense of fun and humor.",positive
154080,B001EQ4GZ4,A2KLAWFZA47BI4,ACO2011,3,13,1,1299974400,TOTAL HIGHWAY ROBBERY PRICE,"THE PRICE LISTED FROM AMAZON.COM FOR THIS PRODUCT IS BEYOND REPROACH.  A COMPLETE HIGHWAY ROBBERY PRICE. I DO NOT KNOW WHERE THEY GET THIS DIAMOND WALNUT PRODUCT FROM BUT THEY ARE CHARGING 14.99 EACH WHICH IS THE 89.99 PRICE FOR ONLY 6.  I HAVE BEEN BUYING THIS SAME PRODUCT, SAME BAG AND SIZE FOR ONLY 4.99 A BAG FORM MONTHS AND MONTHS.  DO NOT BUY THIS PRODUCT HERE.",negative
286194,B008GRIB0A,A3R519XBYP4U17,Tom Butler,0,0,2,1328486400,Van Houtte . . . is this a discontinued item?,"I find it curious that you can not find this k-cup on Van Houtte's website.  You can find the Raspberry Chocolate Truffle light but not this specific k-cup. Given some of the very negative reviews of this product,  perhaps it is a discontinued item or maybe it is not a Van Houtte product.",negative
417692,B000I4OALI,ADV8QUQJ4LTS6,Charley,1,2,5,1254441600,Great Transaction!,I am very pleased with every aspect of this transaction.  I was notified when the item would be shipped (included tracking).  The preserves arrived 2 days later (I thought it would take longer).  It was well packaged and the order info was included.  The preserves taste great!,positive
59663,B000W5SLB8,A3EVY0GKKB6EI6,CDL,2,2,1,1332806400,I think this made my dog sick - bad batch?,"Ever since I opened the newest bag of ""Taste of the Wild,"" my dog has not wanted to eat it.  The pellets look much different than usual, and the food does not smell good.  My dog rejects it, and when he does eat a little, he looks very unhappy about it.  He has been vomiting multiple times per day since eating this new bag of food.  Through a process of elimination, I have come to the conclusion that this newest bag of food is making him sick.  Although my dog used to love this food, I have lost faith in the brand and will not be ordering any more.",negative
478537,B004M13LU4,A1VTMNBLO942BI,"sd ""righton""",0,3,1,1316822400,not this one...,"quite possibly one of worst cereals I have had- it was stale and the consistency was not of ""granola"" but powdery meal... do youself a favor, pick another one!",negative
97495,B006W5WDS4,A82YJCGZ65YKB,haha,0,0,5,1314316800,Great cereal!,"I like the taste of the cereal! The dried strawberry in it is kind of nice taste too, would recommend to friends.",positive
